13:45:30.079 send:<= 10 09 01 0a 16 
13:45:30.236 recv:<= 10 5b 01 5c 16 
13:45:30.236 send:<= 10 09 01 0a 16 
13:45:30.393 recv:<= 10 7b 01 7c 16 
13:45:30.393 send:<= 10 09 01 0a 16 
13:45:30.551 recv:<= 10 5b 01 5c 16 
13:45:30.551 send:<= 10 09 01 0a 16 
13:45:30.708 recv:<= 10 7b 01 7c 16 
13:45:30.708 send:<= 10 09 01 0a 16 
13:45:30.865 recv:<= 10 5b 01 5c 16 
13:45:30.865 send:<= 10 09 01 0a 16 
13:45:31.022 recv:<= 10 7b 01 7c 16 
13:45:31.022 send:<= 10 09 01 0a 16 
13:45:31.178 recv:<= 10 5b 01 5c 16 
13:45:31.178 send:<= 10 09 01 0a 16 
13:45:31.335 recv:<= 10 7b 01 7c 16 
13:45:31.335 send:<= 10 09 01 0a 16 
13:45:31.492 recv:<= 10 5b 01 5c 16 
13:45:31.492 send:<= 10 09 01 0a 16 
13:45:31.650 recv:<= 10 7b 01 7c 16 
13:45:31.650 send:<= 10 09 01 0a 16 
13:45:31.807 recv:<= 10 5b 01 5c 16 
13:45:31.807 send:<= 10 09 01 0a 16 
13:45:31.964 recv:<= 10 7b 01 7c 16 
13:45:31.964 send:<= 10 09 01 0a 16 
13:45:32.120 recv:<= 10 5b 01 5c 16 
13:45:32.120 send:<= 10 09 01 0a 16 
13:45:32.278 recv:<= 10 7b 01 7c 16 
13:45:32.278 send:<= 10 09 01 0a 16 
13:45:32.434 recv:<= 10 5b 01 5c 16 
13:45:32.434 send:<= 10 09 01 0a 16 
13:45:32.589 recv:<= 10 7b 01 7c 16 
13:45:32.590 send:<= 10 09 01 0a 16 
13:45:32.747 recv:<= 10 5b 01 5c 16 
13:45:32.747 send:<= 10 09 01 0a 16 
13:45:32.905 recv:<= 10 7b 01 7c 16 
13:45:32.905 send:<= 10 09 01 0a 16 
13:45:33.060 recv:<= 10 5b 01 5c 16 
13:45:33.060 send:<= 10 09 01 0a 16 
13:45:33.218 recv:<= 10 7b 01 7c 16 
13:45:33.218 send:<= 10 09 01 0a 16 
13:45:33.375 recv:<= 10 5b 01 5c 16 
13:45:33.375 send:<= 10 09 01 0a 16 
13:45:33.532 recv:<= 10 7b 01 7c 16 
13:45:33.532 send:<= 10 09 01 0a 16 
13:45:33.688 recv:<= 10 5b 01 5c 16 
13:45:33.689 send:<= 10 09 01 0a 16 
13:45:33.846 recv:<= 10 7b 01 7c 16 
13:45:33.846 send:<= 10 09 01 0a 16 
13:45:34.001 recv:<= 10 5b 01 5c 16 
13:45:34.001 send:<= 10 09 01 0a 16 
13:45:34.158 recv:<= 10 7b 01 7c 16 
13:45:34.159 send:<= 10 09 01 0a 16 
13:45:34.317 recv:<= 10 5b 01 5c 16 
13:45:34.317 send:<= 10 09 01 0a 16 
13:45:34.472 recv:<= 10 7b 01 7c 16 
13:45:34.472 send:<= 10 09 01 0a 16 
13:45:34.629 recv:<= 10 5b 01 5c 16 
13:45:34.629 send:<= 10 09 01 0a 16 
13:45:34.787 recv:<= 10 7b 01 7c 16 
13:45:34.787 send:<= 10 09 01 0a 16 
13:45:34.944 recv:<= 10 5b 01 5c 16 
13:45:34.944 send:<= 10 09 01 0a 16 
13:45:35.101 recv:<= 10 7b 01 7c 16 
13:45:35.101 send:<= 10 09 01 0a 16 
13:45:35.259 recv:<= 10 5b 01 5c 16 
13:45:35.259 send:<= 10 09 01 0a 16 
13:45:35.416 recv:<= 10 7b 01 7c 16 
13:45:35.416 send:<= 10 09 01 0a 16 
13:45:35.573 recv:<= 10 5b 01 5c 16 
13:45:35.574 send:<= 10 09 01 0a 16 
13:45:35.731 recv:<= 10 7b 01 7c 16 
13:45:35.731 send:<= 10 09 01 0a 16 
13:45:35.887 recv:<= 10 5b 01 5c 16 
13:45:35.887 send:<= 10 09 01 0a 16 
13:45:36.044 recv:<= 10 7b 01 7c 16 
13:45:36.044 send:<= 10 09 01 0a 16 
13:45:36.202 recv:<= 10 5b 01 5c 16 
13:45:36.202 send:<= 10 09 01 0a 16 
13:45:36.360 recv:<= 10 7b 01 7c 16 
13:45:36.360 send:<= 10 09 01 0a 16 
13:45:36.517 recv:<= 10 5b 01 5c 16 
13:45:36.517 send:<= 10 09 01 0a 16 
13:45:36.674 recv:<= 10 7b 01 7c 16 
13:45:36.674 send:<= 10 09 01 0a 16 
13:45:36.832 recv:<= 10 5b 01 5c 16 
13:45:36.832 send:<= 10 09 01 0a 16 
13:45:36.989 recv:<= 10 7b 01 7c 16 
13:45:36.989 send:<= 10 09 01 0a 16 
13:45:37.146 recv:<= 10 5b 01 5c 16 
13:45:37.146 send:<= 10 09 01 0a 16 
13:45:37.303 recv:<= 10 7b 01 7c 16 
13:45:37.303 send:<= 10 09 01 0a 16 
13:45:37.460 recv:<= 10 5b 01 5c 16 
13:45:37.460 send:<= 10 09 01 0a 16 
13:45:37.616 recv:<= 10 7b 01 7c 16 
13:45:37.617 send:<= 10 09 01 0a 16 
13:45:37.774 recv:<= 10 5b 01 5c 16 
13:45:37.774 send:<= 10 09 01 0a 16 
