11:46:36.433 recv:<= 10 49 01 4a 16 
11:46:36.435 send:<= 10 0b 01 0c 16 
11:46:36.570 recv:<= 10 40 01 41 16 
11:46:36.570 send:<= 10 20 01 21 16 
11:46:36.806 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
11:46:36.806 send:<= 10 20 01 21 16 
11:46:36.942 recv:<= 10 5a 01 5b 16 
11:46:36.942 send:<= 68 0a 0a 68 28 01 46 01 04 01 00 00 00 00 75 16 
11:46:37.177 recv:<= 10 7a 01 7b 16 
11:46:37.177 send:<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
11:46:37.413 recv:<= 10 5a 01 5b 16 
11:46:37.414 send:<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
11:46:37.657 recv:<= 10 7a 01 7b 16 
11:46:37.657 send:<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
11:46:38.178 recv:<= 10 5a 01 5b 16 
11:46:38.178 send:<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 14 8d 16 
11:46:38.414 recv:<= 10 7b 01 7c 16 
11:46:38.414 send:<= 10 09 01 0a 16 
11:46:38.550 recv:<= 10 5b 01 5c 16 
11:46:38.550 send:<= 10 09 01 0a 16 
11:46:38.685 recv:<= 10 7b 01 7c 16 
11:46:38.685 send:<= 10 09 01 0a 16 
11:46:38.821 recv:<= 10 5b 01 5c 16 
11:46:38.821 send:<= 10 09 01 0a 16 
11:46:38.955 recv:<= 10 7b 01 7c 16 
11:46:38.955 send:<= 10 09 01 0a 16 
11:46:39.90 recv:<= 10 5b 01 5c 16 
11:46:39.90 send:<= 10 09 01 0a 16 
11:46:39.225 recv:<= 10 7b 01 7c 16 
11:46:39.225 send:<= 10 09 01 0a 16 
11:46:39.360 recv:<= 10 5b 01 5c 16 
11:46:39.360 send:<= 10 09 01 0a 16 
11:46:39.605 recv:<= 68 0b 0b 68 73 01 6a 01 06 01 00 00 00 27 9e ab 16 
11:46:40.487 send:<= 10 20 01 21 16 
11:46:40.622 recv:<= 10 5a 01 5b 16 
11:46:40.622 send:<= 68 0b 0b 68 08 01 6a 01 07 01 00 00 00 ae 9e c8 16 
11:46:40.976 recv:<= 68 0b 0b 68 73 01 6a 01 03 01 00 00 00 de 00 c1 16 
11:46:40.976 send:<= 10 00 01 01 16 
11:46:41.113 recv:<= 10 5b 01 5c 16 
11:46:41.113 send:<= 10 09 01 0a 16 
11:46:41.248 recv:<= 10 7b 01 7c 16 
11:46:41.248 send:<= 10 09 01 0a 16 
11:46:41.383 recv:<= 10 5b 01 5c 16 
11:46:41.383 send:<= 10 09 01 0a 16 
11:46:41.519 recv:<= 10 7b 01 7c 16 
11:46:41.519 send:<= 10 09 01 0a 16 
11:46:41.653 recv:<= 10 5b 01 5c 16 
11:46:41.654 send:<= 10 09 01 0a 16 
11:46:41.787 recv:<= 10 7b 01 7c 16 
11:46:41.787 send:<= 10 09 01 0a 16 
11:46:41.922 recv:<= 10 5b 01 5c 16 
11:46:41.922 send:<= 10 09 01 0a 16 
11:46:42.59 recv:<= 10 7b 01 7c 16 
11:46:42.59 send:<= 10 09 01 0a 16 
11:46:42.193 recv:<= 10 5b 01 5c 16 
11:46:42.193 send:<= 10 09 01 0a 16 
11:46:42.484 recv:<= 68 10 10 68 73 01 67 01 06 01 00 00 00 c6 a5 2e 0b 06 0c 13 ac 16 
11:46:42.438 send:<= 68 10 10 68 00 01 67 01 07 01 00 00 00 c6 a5 2e 0b 06 0b 13 39 16 
11:46:42.728 recv:<= 10 5b 01 5c 16 
11:46:42.729 send:<= 10 09 01 0a 16 
11:46:42.863 recv:<= 10 7b 01 7c 16 
11:46:42.863 send:<= 10 09 01 0a 16 
11:46:42.999 recv:<= 10 5b 01 5c 16 
11:46:42.999 send:<= 10 09 01 0a 16 
11:46:43.134 recv:<= 10 7b 01 7c 16 
11:46:43.134 send:<= 10 09 01 0a 16 
11:46:43.269 recv:<= 10 5b 01 5c 16 
11:46:43.269 send:<= 10 09 01 0a 16 
11:46:43.405 recv:<= 10 7b 01 7c 16 
11:46:43.405 send:<= 10 09 01 0a 16 
11:46:43.540 recv:<= 10 5b 01 5c 16 
11:46:43.540 send:<= 10 09 01 0a 16 
11:46:43.674 recv:<= 10 7b 01 7c 16 
11:46:43.674 send:<= 10 09 01 0a 16 
11:46:43.810 recv:<= 10 5b 01 5c 16 
11:46:43.810 send:<= 10 09 01 0a 16 
11:46:43.945 recv:<= 10 7b 01 7c 16 
11:46:43.946 send:<= 10 09 01 0a 16 
11:46:44.80 recv:<= 10 5b 01 5c 16 
11:46:44.80 send:<= 10 09 01 0a 16 
11:46:44.214 recv:<= 10 7b 01 7c 16 
11:46:44.214 send:<= 10 09 01 0a 16 
11:46:44.350 recv:<= 10 5b 01 5c 16 
11:46:44.350 send:<= 10 09 01 0a 16 
11:46:44.485 recv:<= 10 7b 01 7c 16 
11:46:44.485 send:<= 10 09 01 0a 16 
11:46:44.620 recv:<= 10 5b 01 5c 16 
11:46:44.620 send:<= 10 09 01 0a 16 
11:46:44.755 recv:<= 10 7b 01 7c 16 
11:46:44.755 send:<= 10 09 01 0a 16 
11:46:44.891 recv:<= 10 5b 01 5c 16 
11:46:44.891 send:<= 10 09 01 0a 16 
11:46:45.25 recv:<= 10 7b 01 7c 16 
11:46:45.25 send:<= 10 09 01 0a 16 
11:46:45.160 recv:<= 10 5b 01 5c 16 
11:46:45.160 send:<= 10 09 01 0a 16 
11:46:45.295 recv:<= 10 7b 01 7c 16 
11:46:45.295 send:<= 10 09 01 0a 16 
11:46:45.430 recv:<= 10 5b 01 5c 16 
11:46:45.430 send:<= 10 09 01 0a 16 
11:46:45.565 recv:<= 10 7b 01 7c 16 
11:46:45.565 send:<= 10 09 01 0a 16 
11:46:45.700 recv:<= 10 5b 01 5c 16 
11:46:45.700 send:<= 10 09 01 0a 16 
11:46:45.835 recv:<= 10 7b 01 7c 16 
11:46:45.835 send:<= 10 09 01 0a 16 
11:46:45.970 recv:<= 10 5b 01 5c 16 
11:46:45.970 send:<= 10 09 01 0a 16 
11:46:46.106 recv:<= 10 7b 01 7c 16 
11:46:46.106 send:<= 10 09 01 0a 16 
11:46:46.241 recv:<= 10 5b 01 5c 16 
11:46:46.241 send:<= 10 09 01 0a 16 
11:46:46.376 recv:<= 10 7b 01 7c 16 
11:46:46.376 send:<= 10 09 01 0a 16 
11:46:46.511 recv:<= 10 5b 01 5c 16 
