14:06:42.645 recv:<= 10 49 01 4a 16 
14:06:42.646 send:<= 10 0b 01 0c 16 
14:06:42.803 recv:<= 10 40 01 41 16 
14:06:42.803 send:<= 10 20 01 21 16 
14:06:43.060 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
14:06:43.061 send:<= 10 20 01 21 16 
14:06:43.218 recv:<= 10 5a 01 5b 16 
14:06:43.218 send:<= 68 0a 0a 68 28 01 46 01 04 01 00 00 00 00 75 16 
14:06:43.475 recv:<= 10 7a 01 7b 16 
14:06:43.475 send:<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
14:06:43.734 recv:<= 10 5a 01 5b 16 
14:06:43.734 send:<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
14:06:44.000 recv:<= 10 7a 01 7b 16 
14:06:44.000 send:<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
14:06:44.541 recv:<= 10 5a 01 5b 16 
14:06:44.541 send:<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 14 8d 16 
14:06:44.800 recv:<= 10 7b 01 7c 16 
14:06:44.800 send:<= 10 09 01 0a 16 
14:06:44.957 recv:<= 10 5b 01 5c 16 
14:06:44.957 send:<= 10 09 01 0a 16 
14:06:45.114 recv:<= 10 7b 01 7c 16 
14:06:45.114 send:<= 10 09 01 0a 16 
14:06:45.271 recv:<= 10 5b 01 5c 16 
14:06:45.271 send:<= 10 09 01 0a 16 
14:06:45.428 recv:<= 10 7b 01 7c 16 
14:06:45.428 send:<= 10 09 01 0a 16 
14:06:45.586 recv:<= 10 5b 01 5c 16 
14:06:45.586 send:<= 10 09 01 0a 16 
14:06:45.743 recv:<= 10 7b 01 7c 16 
14:06:45.743 send:<= 10 09 01 0a 16 
14:06:45.901 recv:<= 10 5b 01 5c 16 
14:06:45.901 send:<= 10 09 01 0a 16 
14:06:46.058 recv:<= 10 7b 01 7c 16 
14:06:46.058 send:<= 10 09 01 0a 16 
14:06:46.214 recv:<= 10 5b 01 5c 16 
14:06:46.214 send:<= 10 09 01 0a 16 
14:06:46.370 recv:<= 10 7b 01 7c 16 
14:06:46.370 send:<= 10 09 01 0a 16 
14:06:46.529 recv:<= 10 5b 01 5c 16 
14:06:46.529 send:<= 10 09 01 0a 16 
14:06:46.796 recv:<= 68 0b 0b 68 73 01 6a 01 06 01 00 00 00 f8 b6 94 16 
14:06:46.840 send:<= 10 20 01 21 16 
14:06:46.997 recv:<= 10 5a 01 5b 16 
14:06:46.997 send:<= 68 0b 0b 68 08 01 6a 01 07 01 00 00 00 95 b7 c8 16 
14:06:47.373 recv:<= 68 0b 0b 68 73 01 6a 01 03 01 00 00 00 e9 00 cc 16 
14:06:47.374 send:<= 10 00 01 01 16 
14:06:47.530 recv:<= 10 5b 01 5c 16 
14:06:47.530 send:<= 10 09 01 0a 16 
14:06:47.687 recv:<= 10 7b 01 7c 16 
14:06:47.687 send:<= 10 09 01 0a 16 
14:06:47.844 recv:<= 10 5b 01 5c 16 
14:06:47.844 send:<= 10 09 01 0a 16 
14:06:48.001 recv:<= 10 7b 01 7c 16 
14:06:48.002 send:<= 10 09 01 0a 16 
14:06:48.159 recv:<= 10 5b 01 5c 16 
14:06:48.159 send:<= 10 09 01 0a 16 
14:06:48.315 recv:<= 10 7b 01 7c 16 
14:06:48.315 send:<= 10 09 01 0a 16 
14:06:48.473 recv:<= 10 5b 01 5c 16 
14:06:48.473 send:<= 10 09 01 0a 16 
14:06:48.787 recv:<= 68 10 10 68 73 01 67 01 06 01 00 00 00 66 be 06 0e 06 0c 13 40 16 
14:06:48.742 send:<= 68 10 10 68 00 01 67 01 07 01 00 00 00 66 be 06 0e 06 0b 13 cd 16 
14:06:49.055 recv:<= 10 5b 01 5c 16 
14:06:49.055 send:<= 10 09 01 0a 16 
14:06:49.213 recv:<= 10 7b 01 7c 16 
14:06:49.213 send:<= 10 09 01 0a 16 
14:06:49.370 recv:<= 10 5b 01 5c 16 
14:06:49.370 send:<= 10 09 01 0a 16 
14:06:49.528 recv:<= 10 7b 01 7c 16 
14:06:49.528 send:<= 10 09 01 0a 16 
14:06:49.685 recv:<= 10 5b 01 5c 16 
14:06:49.685 send:<= 10 09 01 0a 16 
14:06:49.843 recv:<= 10 7b 01 7c 16 
14:06:49.843 send:<= 10 09 01 0a 16 
14:06:50.000 recv:<= 10 5b 01 5c 16 
14:06:50.000 send:<= 10 09 01 0a 16 
